ID,Name,Country,Notes
705006,Kamiskotia,Canada,Forecast Only
250002,Kicking Horse,Canada,
604015,Kimberley,Canada,
403007,Kinosoo Ridge,Canada,Forecast Only
54884613,Kootenay National Park,Canada,Forecast Only
54884615,La Reserve,Canada,Forecast Only
819021,La Tuque,Canada,Forecast Only
403008,Lake Louise,Canada,
905003,Lakeridge Ski Resort,Canada,
250003,Last Frontier Heliskiing,Canada,
54888627,Laurentian Ski Hill ,Canada,Forecast Only
514003,Le Chantecler,Canada,Forecast Only
418889,Le Massif,Canada,
54887569,Le Relais,Canada,Forecast Only
418002,Le Relais,Canada,Forecast Only
418003,Le Valinouet,Canada,Forecast Only
807003,Loch Lomond,Canada,
519008,London Ski Club,Canada,
604017,Manning Park Resort,Canada,
333,Mansfield Ski Club,Canada,Forecast Only
709001,Marble Mountain,Canada,Forecast Only
403009,Marmot Basin,Canada,
54884619,Martock,Canada,Forecast Only
418001,Massif Du Sud,Canada,Forecast Only
306005,Mission Ridge,Canada,Forecast Only
54887577,Mission Ridge Winter Park,Canada,Forecast Only
54884621,Mont - Sainte - Marie,Canada,Forecast Only
54887579,Mont Alta,Canada,Forecast Only
54888621,Mont Avalanche,Canada,Forecast Only
115,Mont Avila,Canada,
819003,Mont Blanc,Canada,
54887581,Mont Cascades,Canada,Forecast Only
54884623,Mont Cascades,Canada,Forecast Only
418022,Mont Comi,Canada,Forecast Only
418021,Mont Edouard,Canada,Forecast Only
54887585,Mont Farlagne,Canada,Forecast Only
418004,Mont Fortin,Canada,Forecast Only
514005,Mont Gabriel,Canada,
819004,Mont Garceau,Canada,Forecast Only
514012,Mont Glen,Canada,Forecast Only
418888,Mont Grand-Fonds,Canada,Forecast Only
819005,Mont Habitant,Canada,
819019,Mont Kanasuta,Canada,Forecast Only
54884627,Mont Le Grand Fonds,Canada,Forecast Only
114,Mont Olympia,Canada,
819007,Mont Orford,Canada,
54887587,Mont Orignal,Canada,Forecast Only
54884629,Mont Saint - Sauveur,Canada,Forecast Only
450001,Mont Saint-Bruno,Canada,Forecast Only
514007,Mont Saint-Sauveur,Canada,
54887589,Mont Saint-Sauveur,Canada,Forecast Only
418007,Mont Sainte-Anne,Canada,
54887591,Mont Shefford,Canada,Forecast Only
819008,Mont Ste-Marie,Canada,
514009,Mont Sutton,Canada,
54887593,Mont Tremblant,Canada,Forecast Only
819010,Mont Video,Canada,Forecast Only
54887597,Mont-Garceau,Canada,Forecast Only
54887599,Montjoye,Canada,Forecast Only
819018,Montjoye,Canada,Forecast Only
54887611,Mount Cain Alpine Park,Canada,Forecast Only
54887829,Mount Dufour,Canada,Forecast Only
54887619,Mount Pakenham,Canada,Forecast Only
604031,Mount Seymour,Canada,
54884637,Mount St Louis - Moonstone Ski Resort,Canada,Forecast Only
54887623,Mount St. Louis Moonstone,Canada,Forecast Only
54887625,Mount Timothy Ski Area,Canada,Forecast Only
54887929,Mount Wawa,Canada,Forecast Only
705009,Mountain View,Canada,
604019,Mt Baldy,Canada,
604020,Mt Cain,Canada,Forecast Only
613007,Mt Pakenham,Canada,
604022,Mt Timothy,Canada,
604023,Mt Washington Resort,Canada,
604024,Murray Ridge,Canada,
204006,Mystery Mountain,Canada,Forecast Only
54887631,Mystery Mountain Ski Resort,Canada,Forecast Only
403011,Nakiska Ski Area,Canada,
403012,Nitehawk Ski Hill,Canada,Forecast Only
54887633,Nitehawk Ski Hill,Canada,Forecast Only
416004,North York,Canada,
306006,Ochapowace Mountain,Canada,Forecast Only
54887639,Oshawa Ski Club,Canada,Forecast Only
54887855,Osler Bluff Ski Club,Canada,Forecast Only
54884641,Owl's Head,Canada,Forecast Only
604025,Panorama Mountain,Canada,
54887643,Parc du Mont-Comi,Canada,Forecast Only
604026,Phoenix Mountain,Canada,Forecast Only
54887647,Phoenix Mountain Ski Resort,Canada,Forecast Only
705012,Pine Ridge,Canada,Forecast Only
54887651,Pine Ridge Ski Club,Canada,Forecast Only
54887661,Poley Mountain,Canada,Forecast Only
604027,Powder King,Canada,
604028,Purden Ski Village,Canada,Forecast Only
54887663,Purden Ski Village,Canada,Forecast Only
403014,Rabbit Hill Ski Area,Canada,Forecast Only
54887837,Rabbit Hill Snow Resort,Canada,Forecast Only
54884645,Radcliffe Hill,Canada,Forecast Only
604029,Red Mountain,Canada,
604021,Revelstoke,Canada,
